left_arm_angle,right_arm_angle,leg_spread_angle,label,source
9.887377,10.164053,18.233574,jack_in,2
5.9515376,12.3302555,17.257217,jack_in,2
5.4947248,12.24503,16.705202,jack_in,2
8.576568,11.613945,16.15944,jack_in,2
12.284032,12.552167,18.413214,jack_in,2
15.20542,14.405367,18.076975,jack_in,2
19.252096,20.179062,18.037985,jack_in,2
24.737076,27.137148,17.263376,jack_in,2
44.411556,25.430502,21.159626,jack_in,3
137.57977,125.0483,99.949356,jack_out,4
20.656473,24.720814,20.000677,jack_in,4
31.618214,27.740211,20.368805,jack_in,4
19.044376,22.852863,19.11542,jack_in,4
11.634148,18.218462,19.215958,jack_in,4
30.981699,29.20856,20.345057,jack_in,4
29.667997,37.876297,19.913048,jack_in,4
26.996778,34.471825,15.693061,jack_in,4
27.310139,35.21069,23.765879,jack_in,4
29.157902,40.36488,20.967426,jack_in,4
19.035194,19.139006,19.58883,jack_in,4
12.049922,15.716567,22.848705,jack_in,4
17.696579,19.890003,20.902672,jack_in,4
23.036512,22.137121,20.297579,jack_in,4
37.919895,27.422634,20.081985,jack_in,4
26.679117,30.250452,18.62703,jack_in,4
32.90639,27.064844,21.240192,jack_in,4
19.997992,28.058788,22.396624,jack_in,4
31.240755,36.667244,22.82608,jack_in,4
19.553333,28.421562,19.256716,jack_in,4
17.388542,23.831535,19.398151,jack_in,4
19.632637,22.34442,23.444601,jack_in,4
19.193615,24.99214,24.747986,jack_in,4
128.12383,123.5831,71.70651,jack_out,4
128.31473,143.17914,70.75155,jack_out,4
133.59189,153.43495,70.980644,jack_out,4
175.1054,142.40942,68.94688,jack_out,4
172.2719,143.76323,81.08606,jack_out,4
168.70264,141.32619,69.88892,jack_out,4
153.53694,137.31479,81.96317,jack_out,4
164.53706,143.86238,78.7784,jack_out,4
143.07323,133.50253,81.750046,jack_out,4
134.59073,119.28152,72.266266,jack_out,4
126.12191,133.70103,67.42481,jack_out,4
134.97446,152.20992,70.73075,jack_out,4
157.77985,149.89249,76.03322,jack_out,4
177.68599,137.67056,73.75645,jack_out,4
33.72809,34.817234,13.347423,jack_in,4
28.559965,29.459461,11.000792,jack_in,4
18.259106,17.888538,9.553268,jack_in,4
8.854945,10.4161625,9.164524,jack_in,4
15.135483,9.962708,8.733001,jack_in,4
11.177745,9.998964,10.261841,jack_in,4
14.552583,13.481044,9.735185,jack_in,4
16.74497,17.586653,9.853609,jack_in,4
23.604643,29.062101,10.362664,jack_in,4
28.201006,36.061665,11.814163,jack_in,4
33.285122,30.532475,11.499253,jack_in,4
12.1822195,11.948702,9.963321,jack_in,4
18.178886,9.118459,7.6756244,jack_in,4
11.535769,7.329326,7.978458,jack_in,4
9.949218,13.358735,8.335573,jack_in,4
15.187623,14.652903,9.581111,jack_in,4
17.07673,20.758455,8.206501,jack_in,4
27.088612,30.132935,9.458643,jack_in,4
31.859238,37.67628,11.228492,jack_in,4
29.423576,25.675314,10.316179,jack_in,4
22.26639,16.649439,8.779775,jack_in,4
11.195647,10.683527,8.549089,jack_in,4
10.010838,8.414636,10.571904,jack_in,4
9.261045,11.465319,9.274342,jack_in,4
18.240557,12.089088,9.558309,jack_in,4
18.052637,14.357048,10.587919,jack_in,4
21.1225,22.680386,10.8606205,jack_in,4
